Input,Output
"Applicant earns $128643 annually, has a credit score of 800, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Owns home, and 2 recent credit inquiries.",Approved
"Applicant earns $107374 annually, has a credit score of 807, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Living with family, and 2 recent credit inquiries.",Approved
"Applicant earns $54753 annually, has a credit score of 781, outstanding loans totaling $50091, 2 missed payments in the last year, employment status: Unemployed, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $149282 annually, has a credit score of 769, outstanding loans totaling $41119, 2 missed payments in the last year, employment status: Employed, Owns home, and 2 recent credit inquiries.",Approved
"Applicant earns $37516 annually, has a credit score of 706, outstanding loans totaling $24782, 5 missed payments in the last year, employment status: Freelancer, Living with family, and 3 recent credit inquiries.",Rejected
"Applicant earns $84718 annually, has a credit score of 610, no outstanding loan, 3 missed payments in the last year, employment status: Unemployed, Living with roommates, and 1 recent credit inquiries.",Rejected
"Applicant earns $131443 annually, has a credit score of 725, no outstanding loan, 1 missed payments in the last year, employment status: Self-employed, Rents apartment, and 5 recent credit inquiries.",Rejected
"Applicant earns $46936 annually, has a credit score of 791, no outstanding loan, 0 missed payments in the last year, employment status: Freelancer, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $43691 annually, has a credit score of 774, outstanding loans totaling $19465, 9 missed payments in the last year, employment status: Self-employed, Rents apartment, and 1 recent credit inquiries.",Rejected
"Applicant earns $64609 annually, has a credit score of 758, no outstanding loan, 1 missed payments in the last year, employment status: Employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $97265 annually, has a credit score of 583, outstanding loans totaling $57427, 9 missed payments in the last year, employment status: Freelancer, Rents apartment, and 0 recent credit inquiries.",Rejected
"Applicant earns $82610 annually, has a credit score of 849, no outstanding loan, 0 missed payments in the last year, employment status: Freelancer, Living with roommates, and 1 recent credit inquiries.",Approved
"Applicant earns $86472 annually, has a credit score of 638, outstanding loans totaling $47409, 3 missed payments in the last year, employment status: Unemployed, Rents apartment, and 0 recent credit inquiries.",Rejected
"Applicant earns $121568 annually, has a credit score of 635, no outstanding loan, 9 missed payments in the last year, employment status: Employed, Living with family, and 4 recent credit inquiries.",Rejected
"Applicant earns $69358 annually, has a credit score of 779, no outstanding loan, 2 missed payments in the last year, employment status: Employed, Living with family, and 2 recent credit inquiries.",Approved
"Applicant earns $86489 annually, has a credit score of 683, outstanding loans totaling $23899, 7 missed payments in the last year, employment status: Self-employed, Living with family, and 1 recent credit inquiries.",Rejected
"Applicant earns $98029 annually, has a credit score of 823, outstanding loans totaling $46752, 0 missed payments in the last year, employment status: Employed, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $56379 annually, has a credit score of 689, no outstanding loan, 9 missed payments in the last year, employment status: Employed, Owns home, and 4 recent credit inquiries.",Rejected
"Applicant earns $149405 annually, has a credit score of 814, outstanding loans totaling $32944, 0 missed payments in the last year, employment status: Employed, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $97809 annually, has a credit score of 714, no outstanding loan, 2 missed payments in the last year, employment status: Freelancer, Living with roommates, and 0 recent credit inquiries.",Approved
"Applicant earns $92116 annually, has a credit score of 804, no outstanding loan, 9 missed payments in the last year, employment status: Employed, Living with family, and 4 recent credit inquiries.",Rejected
"Applicant earns $97026 annually, has a credit score of 783, outstanding loans totaling $30938, 2 missed payments in the last year, employment status: Self-employed, Owns home, and 0 recent credit inquiries.",Approved
"Applicant earns $69265 annually, has a credit score of 539, outstanding loans totaling $30593, 5 missed payments in the last year, employment status: Employed, Owns home, and 4 recent credit inquiries.",Rejected
"Applicant earns $149288 annually, has a credit score of 754, outstanding loans totaling $6705, 7 missed payments in the last year, employment status: Employed, Living with roommates, and 3 recent credit inquiries.",Rejected
"Applicant earns $136565 annually, has a credit score of 747, outstanding loans totaling $57774, 1 missed payments in the last year, employment status: Employed, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $127955 annually, has a credit score of 838, no outstanding loan, 10 missed payments in the last year, employment status: Unemployed, Living with family, and 1 recent credit inquiries.",Rejected
"Applicant earns $104225 annually, has a credit score of 840, outstanding loans totaling $50011, 9 missed payments in the last year, employment status: Recently changed jobs, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $120860 annually, has a credit score of 808, outstanding loans totaling $39002, 0 missed payments in the last year, employment status: Self-employed, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $88096 annually, has a credit score of 791, outstanding loans totaling $30655, 2 missed payments in the last year, employment status: Self-employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $37856 annually, has a credit score of 720, no outstanding loan, 2 missed payments in the last year, employment status: Freelancer, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $86522 annually, has a credit score of 623, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Owns home, and 4 recent credit inquiries.",Rejected
"Applicant earns $121432 annually, has a credit score of 615, no outstanding loan, 6 missed payments in the last year, employment status: Recently changed jobs, Rents apartment, and 1 recent credit inquiries.",Rejected
"Applicant earns $114225 annually, has a credit score of 711, outstanding loans totaling $35878, 0 missed payments in the last year, employment status: Freelancer, Rents apartment, and 0 recent credit inquiries.",Approved
"Applicant earns $109435 annually, has a credit score of 545, no outstanding loan, 9 missed payments in the last year, employment status: Self-employed, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $95992 annually, has a credit score of 632, outstanding loans totaling $19148, 5 missed payments in the last year, employment status: Employed, Living with roommates, and 3 recent credit inquiries.",Rejected
"Applicant earns $142409 annually, has a credit score of 803, outstanding loans totaling $39302, 0 missed payments in the last year, employment status: Employed, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $136352 annually, has a credit score of 612, outstanding loans totaling $56234, 4 missed payments in the last year, employment status: Unemployed, Living with family, and 0 recent credit inquiries.",Rejected
"Applicant earns $42101 annually, has a credit score of 711, no outstanding loan, 9 missed payments in the last year, employment status: Freelancer, Rents apartment, and 0 recent credit inquiries.",Rejected
"Applicant earns $55535 annually, has a credit score of 698, no outstanding loan, 7 missed payments in the last year, employment status: Freelancer, Living with family, and 2 recent credit inquiries.",Rejected
"Applicant earns $136851 annually, has a credit score of 709, outstanding loans totaling $21870, 1 missed payments in the last year, employment status: Freelancer, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $38306 annually, has a credit score of 793, outstanding loans totaling $6557, 6 missed payments in the last year, employment status: Freelancer, Living with family, and 1 recent credit inquiries.",Rejected
"Applicant earns $56049 annually, has a credit score of 653, outstanding loans totaling $30770, 4 missed payments in the last year, employment status: Self-employed, Rents apartment, and 1 recent credit inquiries.",Rejected
"Applicant earns $137231 annually, has a credit score of 729, no outstanding loan, 0 missed payments in the last year, employment status: Freelancer, Living with roommates, and 1 recent credit inquiries.",Approved
"Applicant earns $134702 annually, has a credit score of 611, no outstanding loan, 9 missed payments in the last year, employment status: Freelancer, Living with family, and 4 recent credit inquiries.",Rejected
"Applicant earns $137802 annually, has a credit score of 766, no outstanding loan, 2 missed payments in the last year, employment status: Self-employed, Living with roommates, and 0 recent credit inquiries.",Approved
"Applicant earns $50946 annually, has a credit score of 691, outstanding loans totaling $51501, 5 missed payments in the last year, employment status: Freelancer, Owns home, and 1 recent credit inquiries.",Rejected
"Applicant earns $96222 annually, has a credit score of 754, outstanding loans totaling $58971, 4 missed payments in the last year, employment status: Self-employed, Owns home, and 2 recent credit inquiries.",Rejected
"Applicant earns $79468 annually, has a credit score of 742, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $109534 annually, has a credit score of 843, no outstanding loan, 1 missed payments in the last year, employment status: Self-employed, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $76786 annually, has a credit score of 794, no outstanding loan, 2 missed payments in the last year, employment status: Employed, Owns home, and 0 recent credit inquiries.",Approved
"Applicant earns $79973 annually, has a credit score of 730, outstanding loans totaling $38072, 2 missed payments in the last year, employment status: Freelancer, Rents apartment, and 0 recent credit inquiries.",Approved
"Applicant earns $90932 annually, has a credit score of 744, no outstanding loan, 1 missed payments in the last year, employment status: Employed, Living with roommates, and 1 recent credit inquiries.",Approved
"Applicant earns $99188 annually, has a credit score of 805, no outstanding loan, 3 missed payments in the last year, employment status: Unemployed, Living with roommates, and 0 recent credit inquiries.",Rejected
"Applicant earns $74588 annually, has a credit score of 846, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Rents apartment, and 3 recent credit inquiries.",Rejected
"Applicant earns $109707 annually, has a credit score of 740, no outstanding loan, 10 missed payments in the last year, employment status: Employed, Rents apartment, and 5 recent credit inquiries.",Rejected
"Applicant earns $104104 annually, has a credit score of 588, outstanding loans totaling $22918, 7 missed payments in the last year, employment status: Unemployed, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $143677 annually, has a credit score of 738, outstanding loans totaling $69357, 1 missed payments in the last year, employment status: Self-employed, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $47471 annually, has a credit score of 758, outstanding loans totaling $6677, 1 missed payments in the last year, employment status: Self-employed, Living with roommates, and 0 recent credit inquiries.",Approved
"Applicant earns $82745 annually, has a credit score of 819, outstanding loans totaling $34441, 0 missed payments in the last year, employment status: Freelancer, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $86184 annually, has a credit score of 624, no outstanding loan, 0 missed payments in the last year, employment status: Freelancer, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $136721 annually, has a credit score of 804, no outstanding loan, 0 missed payments in the last year, employment status: Employed, Rents apartment, and 0 recent credit inquiries.",Approved
"Applicant earns $89604 annually, has a credit score of 817, no outstanding loan, 1 missed payments in the last year, employment status: Freelancer, Owns home, and 2 recent credit inquiries.",Approved
"Applicant earns $67418 annually, has a credit score of 570, outstanding loans totaling $41804, 10 missed payments in the last year, employment status: Recently changed jobs, Rents apartment, and 3 recent credit inquiries.",Rejected
"Applicant earns $59711 annually, has a credit score of 745, outstanding loans totaling $29429, 2 missed payments in the last year, employment status: Freelancer, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $138618 annually, has a credit score of 782, no outstanding loan, 1 missed payments in the last year, employment status: Self-employed, Living with family, and 2 recent credit inquiries.",Approved
"Applicant earns $51133 annually, has a credit score of 643, no outstanding loan, 7 missed payments in the last year, employment status: Unemployed, Owns home, and 2 recent credit inquiries.",Rejected
"Applicant earns $101305 annually, has a credit score of 581, no outstanding loan, 9 missed payments in the last year, employment status: Employed, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $74860 annually, has a credit score of 812, no outstanding loan, 0 missed payments in the last year, employment status: Employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $121713 annually, has a credit score of 568, no outstanding loan, 5 missed payments in the last year, employment status: Recently changed jobs, Rents apartment, and 1 recent credit inquiries.",Rejected
"Applicant earns $116852 annually, has a credit score of 755, no outstanding loan, 1 missed payments in the last year, employment status: Self-employed, Living with roommates, and 0 recent credit inquiries.",Approved
"Applicant earns $121119 annually, has a credit score of 749, outstanding loans totaling $15080, 0 missed payments in the last year, employment status: Unemployed, Living with roommates, and 3 recent credit inquiries.",Rejected
"Applicant earns $33729 annually, has a credit score of 735, no outstanding loan, 2 missed payments in the last year, employment status: Freelancer, Living with roommates, and 0 recent credit inquiries.",Approved
"Applicant earns $79587 annually, has a credit score of 559, no outstanding loan, 5 missed payments in the last year, employment status: Recently changed jobs, Owns home, and 4 recent credit inquiries.",Rejected
"Applicant earns $55965 annually, has a credit score of 709, no outstanding loan, 7 missed payments in the last year, employment status: Unemployed, Living with family, and 2 recent credit inquiries.",Rejected
"Applicant earns $145215 annually, has a credit score of 747, outstanding loans totaling $33938, 0 missed payments in the last year, employment status: Freelancer, Owns home, and 2 recent credit inquiries.",Approved
"Applicant earns $94425 annually, has a credit score of 633, outstanding loans totaling $51233, 10 missed payments in the last year, employment status: Unemployed, Owns home, and 1 recent credit inquiries.",Rejected
"Applicant earns $42326 annually, has a credit score of 807, no outstanding loan, 0 missed payments in the last year, employment status: Unemployed, Living with roommates, and 5 recent credit inquiries.",Rejected
"Applicant earns $148440 annually, has a credit score of 714, no outstanding loan, 2 missed payments in the last year, employment status: Self-employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $108589 annually, has a credit score of 697, no outstanding loan, 6 missed payments in the last year, employment status: Employed, Rents apartment, and 3 recent credit inquiries.",Rejected
"Applicant earns $61717 annually, has a credit score of 835, outstanding loans totaling $28774, 1 missed payments in the last year, employment status: Recently changed jobs, Owns home, and 0 recent credit inquiries.",Rejected
"Applicant earns $79591 annually, has a credit score of 619, no outstanding loan, 1 missed payments in the last year, employment status: Freelancer, Living with family, and 0 recent credit inquiries.",Rejected
"Applicant earns $73936 annually, has a credit score of 756, outstanding loans totaling $36742, 4 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 1 recent credit inquiries.",Rejected
"Applicant earns $56203 annually, has a credit score of 786, no outstanding loan, 2 missed payments in the last year, employment status: Self-employed, Rents apartment, and 0 recent credit inquiries.",Approved
"Applicant earns $103007 annually, has a credit score of 725, no outstanding loan, 1 missed payments in the last year, employment status: Self-employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $47642 annually, has a credit score of 838, no outstanding loan, 1 missed payments in the last year, employment status: Self-employed, Living with roommates, and 1 recent credit inquiries.",Approved
"Applicant earns $124980 annually, has a credit score of 739, outstanding loans totaling $5822, 1 missed payments in the last year, employment status: Employed, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $92054 annually, has a credit score of 829, outstanding loans totaling $14762, 1 missed payments in the last year, employment status: Employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $150000 annually, has a credit score of 800, no outstanding loan, 0 missed payments in the last year, employment status: Unemployed, Living with roommates, and 4 recent credit inquiries.",Rejected
"Applicant earns $114843 annually, has a credit score of 718, outstanding loans totaling $12246, 2 missed payments in the last year, employment status: Self-employed, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $70558 annually, has a credit score of 721, outstanding loans totaling $24944, 4 missed payments in the last year, employment status: Self-employed, Rents apartment, and 2 recent credit inquiries.",Rejected
"Applicant earns $84393 annually, has a credit score of 751, no outstanding loan, 1 missed payments in the last year, employment status: Employed, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $59754 annually, has a credit score of 571, outstanding loans totaling $66643, 7 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 2 recent credit inquiries.",Rejected
"Applicant earns $74178 annually, has a credit score of 724, outstanding loans totaling $10569, 2 missed payments in the last year, employment status: Freelancer, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $106200 annually, has a credit score of 826, outstanding loans totaling $63799, 6 missed payments in the last year, employment status: Self-employed, Living with roommates, and 0 recent credit inquiries.",Rejected
"Applicant earns $48059 annually, has a credit score of 617, outstanding loans totaling $40659, 2 missed payments in the last year, employment status: Recently changed jobs, Owns home, and 1 recent credit inquiries.",Rejected
"Applicant earns $111753 annually, has a credit score of 807, outstanding loans totaling $50746, 2 missed payments in the last year, employment status: Freelancer, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $60115 annually, has a credit score of 747, outstanding loans totaling $5677, 1 missed payments in the last year, employment status: Self-employed, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $87431 annually, has a credit score of 521, no outstanding loan, 7 missed payments in the last year, employment status: Freelancer, Living with family, and 1 recent credit inquiries.",Rejected
"Applicant earns $59819 annually, has a credit score of 831, no outstanding loan, 9 missed payments in the last year, employment status: Employed, Living with roommates, and 0 recent credit inquiries.",Rejected
"Applicant earns $96660 annually, has a credit score of 780, no outstanding loan, 1 missed payments in the last year, employment status: Freelancer, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $90134 annually, has a credit score of 504, outstanding loans totaling $50423, 2 missed payments in the last year, employment status: Freelancer, Living with roommates, and 4 recent credit inquiries.",Rejected
"Applicant earns $115055 annually, has a credit score of 687, outstanding loans totaling $29879, 8 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 4 recent credit inquiries.",Rejected
"Applicant earns $119570 annually, has a credit score of 814, outstanding loans totaling $52217, 1 missed payments in the last year, employment status: Freelancer, Living with roommates, and 0 recent credit inquiries.",Approved
"Applicant earns $132953 annually, has a credit score of 546, outstanding loans totaling $19932, 2 missed payments in the last year, employment status: Freelancer, Owns home, and 4 recent credit inquiries.",Rejected
"Applicant earns $128930 annually, has a credit score of 797, no outstanding loan, 6 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 4 recent credit inquiries.",Rejected
"Applicant earns $33621 annually, has a credit score of 835, outstanding loans totaling $14643, 9 missed payments in the last year, employment status: Freelancer, Rents apartment, and 3 recent credit inquiries.",Rejected
"Applicant earns $76190 annually, has a credit score of 831, no outstanding loan, 1 missed payments in the last year, employment status: Employed, Living with family, and 5 recent credit inquiries.",Rejected
"Applicant earns $122331 annually, has a credit score of 739, no outstanding loan, 1 missed payments in the last year, employment status: Freelancer, Owns home, and 0 recent credit inquiries.",Approved
"Applicant earns $91488 annually, has a credit score of 624, outstanding loans totaling $20966, 1 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 0 recent credit inquiries.",Rejected
"Applicant earns $144205 annually, has a credit score of 638, outstanding loans totaling $32935, 8 missed payments in the last year, employment status: Employed, Living with roommates, and 1 recent credit inquiries.",Rejected
"Applicant earns $65268 annually, has a credit score of 759, outstanding loans totaling $29979, 1 missed payments in the last year, employment status: Freelancer, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $109149 annually, has a credit score of 825, outstanding loans totaling $37770, 7 missed payments in the last year, employment status: Unemployed, Rents apartment, and 3 recent credit inquiries.",Rejected
"Applicant earns $114987 annually, has a credit score of 827, no outstanding loan, 10 missed payments in the last year, employment status: Self-employed, Rents apartment, and 2 recent credit inquiries.",Rejected
"Applicant earns $128988 annually, has a credit score of 696, outstanding loans totaling $15831, 0 missed payments in the last year, employment status: Employed, Living with roommates, and 0 recent credit inquiries.",Rejected
"Applicant earns $79906 annually, has a credit score of 749, outstanding loans totaling $32470, 0 missed payments in the last year, employment status: Freelancer, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $45448 annually, has a credit score of 713, outstanding loans totaling $24121, 4 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 1 recent credit inquiries.",Rejected
"Applicant earns $52676 annually, has a credit score of 848, no outstanding loan, 2 missed payments in the last year, employment status: Employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $74573 annually, has a credit score of 812, no outstanding loan, 0 missed payments in the last year, employment status: Freelancer, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $140984 annually, has a credit score of 671, no outstanding loan, 8 missed payments in the last year, employment status: Self-employed, Living with roommates, and 1 recent credit inquiries.",Rejected
"Applicant earns $110052 annually, has a credit score of 704, outstanding loans totaling $53318, 0 missed payments in the last year, employment status: Self-employed, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $149802 annually, has a credit score of 512, no outstanding loan, 10 missed payments in the last year, employment status: Freelancer, Rents apartment, and 2 recent credit inquiries.",Rejected
"Applicant earns $39254 annually, has a credit score of 635, outstanding loans totaling $58318, 3 missed payments in the last year, employment status: Employed, Living with family, and 1 recent credit inquiries.",Rejected
"Applicant earns $115608 annually, has a credit score of 752, no outstanding loan, 1 missed payments in the last year, employment status: Employed, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $46951 annually, has a credit score of 775, outstanding loans totaling $40573, 4 missed payments in the last year, employment status: Employed, Owns home, and 5 recent credit inquiries.",Rejected
"Applicant earns $49342 annually, has a credit score of 653, no outstanding loan, 1 missed payments in the last year, employment status: Employed, Owns home, and 2 recent credit inquiries.",Rejected
"Applicant earns $51520 annually, has a credit score of 645, outstanding loans totaling $35620, 10 missed payments in the last year, employment status: Unemployed, Rents apartment, and 3 recent credit inquiries.",Rejected
"Applicant earns $116266 annually, has a credit score of 782, no outstanding loan, 1 missed payments in the last year, employment status: Employed, Rents apartment, and 0 recent credit inquiries.",Approved
"Applicant earns $136196 annually, has a credit score of 779, no outstanding loan, 8 missed payments in the last year, employment status: Self-employed, Rents apartment, and 2 recent credit inquiries.",Rejected
"Applicant earns $68430 annually, has a credit score of 763, no outstanding loan, 2 missed payments in the last year, employment status: Self-employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $49221 annually, has a credit score of 799, no outstanding loan, 1 missed payments in the last year, employment status: Freelancer, Living with roommates, and 1 recent credit inquiries.",Approved
"Applicant earns $113291 annually, has a credit score of 782, outstanding loans totaling $34342, 2 missed payments in the last year, employment status: Freelancer, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $36413 annually, has a credit score of 719, no outstanding loan, 1 missed payments in the last year, employment status: Self-employed, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $54399 annually, has a credit score of 721, no outstanding loan, 6 missed payments in the last year, employment status: Self-employed, Living with roommates, and 1 recent credit inquiries.",Rejected
"Applicant earns $141808 annually, has a credit score of 743, outstanding loans totaling $43257, 0 missed payments in the last year, employment status: Freelancer, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $118122 annually, has a credit score of 666, no outstanding loan, 9 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 4 recent credit inquiries.",Rejected
"Applicant earns $55051 annually, has a credit score of 703, no outstanding loan, 5 missed payments in the last year, employment status: Freelancer, Living with family, and 1 recent credit inquiries.",Rejected
"Applicant earns $74440 annually, has a credit score of 653, outstanding loans totaling $68029, 10 missed payments in the last year, employment status: Recently changed jobs, Rents apartment, and 1 recent credit inquiries.",Rejected
"Applicant earns $120114 annually, has a credit score of 758, no outstanding loan, 10 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 3 recent credit inquiries.",Rejected
"Applicant earns $92303 annually, has a credit score of 748, no outstanding loan, 6 missed payments in the last year, employment status: Freelancer, Owns home, and 3 recent credit inquiries.",Rejected
"Applicant earns $53473 annually, has a credit score of 770, outstanding loans totaling $43458, 5 missed payments in the last year, employment status: Self-employed, Living with roommates, and 0 recent credit inquiries.",Rejected
"Applicant earns $118921 annually, has a credit score of 721, outstanding loans totaling $30239, 2 missed payments in the last year, employment status: Freelancer, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $109913 annually, has a credit score of 705, outstanding loans totaling $13293, 1 missed payments in the last year, employment status: Employed, Living with roommates, and 2 recent credit inquiries.",Approved
"Applicant earns $77962 annually, has a credit score of 510, outstanding loans totaling $46864, 9 missed payments in the last year, employment status: Recently changed jobs, Rents apartment, and 4 recent credit inquiries.",Rejected
"Applicant earns $149424 annually, has a credit score of 623, no outstanding loan, 3 missed payments in the last year, employment status: Self-employed, Rents apartment, and 3 recent credit inquiries.",Rejected
"Applicant earns $146623 annually, has a credit score of 811, outstanding loans totaling $56512, 2 missed payments in the last year, employment status: Self-employed, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $126467 annually, has a credit score of 843, outstanding loans totaling $57977, 1 missed payments in the last year, employment status: Freelancer, Living with roommates, and 0 recent credit inquiries.",Approved
"Applicant earns $129264 annually, has a credit score of 805, outstanding loans totaling $18766, 0 missed payments in the last year, employment status: Unemployed, Owns home, and 1 recent credit inquiries.",Rejected
"Applicant earns $89430 annually, has a credit score of 764, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $149490 annually, has a credit score of 713, outstanding loans totaling $53129, 1 missed payments in the last year, employment status: Freelancer, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $143667 annually, has a credit score of 708, outstanding loans totaling $64723, 0 missed payments in the last year, employment status: Employed, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $42051 annually, has a credit score of 790, no outstanding loan, 2 missed payments in the last year, employment status: Employed, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $98947 annually, has a credit score of 760, no outstanding loan, 9 missed payments in the last year, employment status: Freelancer, Living with roommates, and 2 recent credit inquiries.",Rejected
"Applicant earns $93469 annually, has a credit score of 716, outstanding loans totaling $10527, 5 missed payments in the last year, employment status: Freelancer, Living with family, and 0 recent credit inquiries.",Rejected
"Applicant earns $59978 annually, has a credit score of 543, outstanding loans totaling $61172, 7 missed payments in the last year, employment status: Recently changed jobs, Living with family, and 0 recent credit inquiries.",Rejected
"Applicant earns $76828 annually, has a credit score of 718, no outstanding loan, 0 missed payments in the last year, employment status: Self-employed, Living with roommates, and 0 recent credit inquiries.",Approved
"Applicant earns $123517 annually, has a credit score of 766, no outstanding loan, 1 missed payments in the last year, employment status: Self-employed, Living with roommates, and 0 recent credit inquiries.",Approved
"Applicant earns $109241 annually, has a credit score of 629, outstanding loans totaling $10340, 8 missed payments in the last year, employment status: Freelancer, Rents apartment, and 3 recent credit inquiries.",Rejected
"Applicant earns $139617 annually, has a credit score of 756, outstanding loans totaling $59946, 5 missed payments in the last year, employment status: Recently changed jobs, Owns home, and 5 recent credit inquiries.",Rejected
"Applicant earns $117055 annually, has a credit score of 748, no outstanding loan, 0 missed payments in the last year, employment status: Employed, Living with family, and 2 recent credit inquiries.",Approved
"Applicant earns $77460 annually, has a credit score of 795, outstanding loans totaling $12710, 0 missed payments in the last year, employment status: Self-employed, Living with family, and 1 recent credit inquiries.",Approved
"Applicant earns $130741 annually, has a credit score of 635, no outstanding loan, 7 missed payments in the last year, employment status: Self-employed, Living with roommates, and 4 recent credit inquiries.",Rejected
"Applicant earns $60102 annually, has a credit score of 797, no outstanding loan, 0 missed payments in the last year, employment status: Freelancer, Living with roommates, and 0 recent credit inquiries.",Approved
"Applicant earns $69782 annually, has a credit score of 736, no outstanding loan, 0 missed payments in the last year, employment status: Freelancer, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $105541 annually, has a credit score of 828, no outstanding loan, 1 missed payments in the last year, employment status: Freelancer, Living with family, and 0 recent credit inquiries.",Approved
"Applicant earns $65975 annually, has a credit score of 802, no outstanding loan, 0 missed payments in the last year, employment status: Employed, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $41052 annually, has a credit score of 701, outstanding loans totaling $6908, 1 missed payments in the last year, employment status: Self-employed, Owns home, and 2 recent credit inquiries.",Approved
"Applicant earns $113851 annually, has a credit score of 501, no outstanding loan, 0 missed payments in the last year, employment status: Employed, Owns home, and 4 recent credit inquiries.",Rejected
"Applicant earns $112600 annually, has a credit score of 535, outstanding loans totaling $11749, 2 missed payments in the last year, employment status: Freelancer, Living with roommates, and 1 recent credit inquiries.",Rejected
"Applicant earns $113749 annually, has a credit score of 822, no outstanding loan, 1 missed payments in the last year, employment status: Self-employed, Owns home, and 1 recent credit inquiries.",Approved
"Applicant earns $103363 annually, has a credit score of 648, outstanding loans totaling $30489, 3 missed payments in the last year, employment status: Freelancer, Owns home, and 2 recent credit inquiries.",Rejected
"Applicant earns $139332 annually, has a credit score of 761, outstanding loans totaling $31690, 0 missed payments in the last year, employment status: Freelancer, Rents apartment, and 2 recent credit inquiries.",Approved
"Applicant earns $97391 annually, has a credit score of 519, no outstanding loan, 8 missed payments in the last year, employment status: Unemployed, Living with family, and 3 recent credit inquiries.",Rejected
"Applicant earns $116270 annually, has a credit score of 741, outstanding loans totaling $52643, 1 missed payments in the last year, employment status: Freelancer, Rents apartment, and 1 recent credit inquiries.",Approved
"Applicant earns $69909 annually, has a credit score of 668, outstanding loans totaling $9223, 10 missed payments in the last year, employment status: Freelancer, Living with family, and 3 recent credit inquiries.",Rejected
"Applicant earns $61683 annually, has a credit score of 731, outstanding loans totaling $56515, 0 missed payments in the last year, employment status: Freelancer, Rents apartment, and 3 recent credit inquiries.",Rejected
